"","candidate","votes","fraction_votes","PST045214","SEX255214","RHI125214","RHI225214","RHI325214","RHI425214","RHI525214","RHI625214","RHI725214","RHI825214"
"750","Hillary Clinton",1562,0.637,33368,48.1,85.6,11.6,0.6,0.4,0.1,1.8,3.3,82.7
"757","Donald Trump",559,0.345,13500,51.3,75.8,20.9,1,0.7,0.1,1.4,11,65.7
"759","Hillary Clinton",535,0.765,13500,51.3,75.8,20.9,1,0.7,0.1,1.4,11,65.7
"763","Hillary Clinton",1059,0.645,36959,51.3,94.5,2.3,0.7,0.8,0.2,1.5,5.9,89.3
"766","Donald Trump",2077,0.349,36959,51.3,94.5,2.3,0.7,0.8,0.2,1.5,5.9,89.3
"772","Hillary Clinton",516,0.649,13486,47.6,95.4,1.8,1.1,0.3,0,1.4,1.9,93.8
"774","Donald Trump",873,0.42,13486,47.6,95.4,1.8,1.1,0.3,0,1.4,1.9,93.8
"779","Donald Trump",711,0.43,17534,50.3,79.6,17.6,0.7,0.4,0.1,1.6,2.9,77.1
"781","Hillary Clinton",702,0.73,17534,50.3,79.6,17.6,0.7,0.4,0.1,1.6,2.9,77.1
"785","Donald Trump",1490,0.394,72297,50.8,41.7,55.5,0.4,0.9,0.1,1.3,1.9,40.3
"789","Hillary Clinton",9936,0.787,72297,50.8,41.7,55.5,0.4,0.9,0.1,1.3,1.9,40.3
"793","Hillary Clinton",1056,0.623,26005,50.3,93.4,2.1,1.2,1.2,0.1,1.9,13.5,81.1
"794","Donald Trump",1338,0.397,26005,50.3,93.4,2.1,1.2,1.2,0.1,1.9,13.5,81.1
"799","Hillary Clinton",443,0.687,7111,51.7,61.1,37.1,0.4,0.5,0,1,2,59.7
"800","Donald Trump",334,0.42,7111,51.7,61.1,37.1,0.4,0.5,0,1,2,59.7
"804","Hillary Clinton",933,0.495,16931,50.5,97.1,1,0.5,0.2,0,1.2,1.3,96
"809","Donald Trump",445,0.358,16931,50.5,97.1,1,0.5,0.2,0,1.2,1.3,96
"812","Hillary Clinton",956,0.896,9860,44,43.1,54.2,0.6,0.5,0,1.6,2.7,41
"814","Donald Trump",349,0.527,9860,44,43.1,54.2,0.6,0.5,0,1.6,2.7,41
"821","Hillary Clinton",599,0.757,13970,38.9,67.7,30.3,0.4,0.3,0,1.2,3.6,64.8
"824","Donald Trump",581,0.436,13970,38.9,67.7,30.3,0.4,0.3,0,1.2,3.6,64.8
"825","Hillary Clinton",721,0.531,12532,50.9,75.7,19.7,1.9,0.4,0,2.2,3.1,73.3
"830","Donald Trump",521,0.388,12532,50.9,75.7,19.7,1.9,0.4,0,2.2,3.1,73.3
"835","Donald Trump",1208,0.365,21958,50.2,93.7,1.5,1.2,1.9,0,1.7,2.7,91.4
